names,scores,logfoldchanges,pvals,pvals_adj
WISP2,4.358658,2.23615,1.3086242834608309e-05,5.133178311047418e-05
AC016745.2,2.5727224,2.2354774,0.010090208293813805,0.029043409061743037
FAM184B,14.265143,2.2317958,3.60849982292185e-46,1.1248858896809136e-44
ORC6,6.3202105,2.2262523,2.61207173927298e-10,1.5185303987932052e-09
RSPO3,9.354118,2.2252674,8.429976069761143e-21,9.462127453272197e-20
MNS1,10.164883,2.2184262,2.8446370556285234e-24,3.880453526162977e-23
KCNIP1,3.843656,2.2134485,0.00012121488545973596,0.0004335606763998016
SLC22A3,8.983292,2.213192,2.6278499439116474e-19,2.713323602668535e-18
GSTT2B,16.231565,2.1997705,3.0166576422602517e-59,1.3637949957578852e-57
BTC,2.932517,2.1981552,0.003362264680724804,0.010251781394754814
STEAP4,10.937727,2.1932886,7.608375112937736e-28,1.2373879078922739e-26
AC015712.1,7.427864,2.1915503,1.1036508651753058e-13,8.13443521984129e-13
RAC3,5.7367826,2.1898096,9.649201780378099e-09,4.947425142268608e-08
LSAMP,28.870535,2.187312,2.799344552228479e-183,7.681013423357211e-181
LY6E-DT,3.9767435,2.1839283,6.986543184302409e-05,0.00025543281169732545
CACNA1D,37.21079,2.180234,4.566855935441554e-303,4.687454760699696e-300
CTSV,2.4424782,2.160431,0.014586811518950544,0.04113993437603217
AL645608.3,5.307779,2.1597185,1.1096907555825033e-07,5.192985462589988e-07
C16orf74,6.8396587,2.1581733,7.938212050794698e-12,5.161700388636168e-11
CHEK1,7.1288133,2.1514022,1.0123789790545051e-12,6.975648594365365e-12
CKB,36.35342,2.149595,2.3203637288917344e-289,1.9486133339023223e-286
KIF26A,9.239616,2.1445422,2.4738212644947097e-20,2.7183587907589964e-19
CCBE1,13.250734,2.1363978,4.468097069934263e-40,1.1648577055417519e-38
CDCA7,27.23561,2.1313457,2.4608665345869366e-163,5.636197873802295e-161
MAD2L1,6.3692956,2.1226118,1.898984434042565e-10,1.1126121695691672e-09
SLC38A5,10.131676,2.0988722,3.9974039890349774e-24,5.398638243086079e-23
ADCY7,6.0869203,2.0957649,1.1510315752841086e-09,6.358090102820112e-09
AC087203.3,3.8735871,2.0951037,0.00010724501083529998,0.0003857535162409941
SCGB1D2,11.482089,2.0926008,1.6231121954568047e-30,2.9322886748822966e-29
NFIX,29.882343,2.0907893,3.3377675842959327e-196,1.0164786050944306e-193
GGH,10.206193,2.0826013,1.8602021584147073e-24,2.5596714208613097e-23
CD34,9.122314,2.079197,7.35368311123386e-20,7.8745216407119e-19
EFCAB1,7.3587046,2.065657,1.8570365686405296e-13,1.346873970864564e-12
SPATA17,3.2438223,2.056761,0.001179372811026361,0.0038022287938545302
MAP2K6,11.677406,2.0537908,1.6629289677033305e-31,3.1782586539284415e-30
TMEM132B,11.792921,2.053398,4.245548867920905e-32,8.279865994137372e-31
MOXD1,37.585476,2.0524857,3.712262934305075e-309,4.472954030365067e-306
TMCC1-AS1,6.6384215,2.0495799,3.1706036948298723e-11,1.9701107667000055e-10
LRRC17,23.379738,2.044337,6.87044123267116e-121,9.153872013510378e-119
AL645568.1,2.6224983,2.0434816,0.008728770801834426,0.025282235078515618
MXD3,5.1077056,2.038661,3.2609440163298656e-07,1.474305805832366e-06
FABP5,31.206316,2.0351827,8.746887929369843e-214,2.9926235208225492e-211
KCNMB1,20.599567,2.0323312,2.769068179299061e-94,2.325429892512572e-92
RFPL1S,2.8667746,2.0217497,0.004146781647548002,0.012493363331086353
PTGDS,33.00515,2.0215862,6.851613221277148e-239,3.1646459533542265e-236
CFAP46,2.4171066,2.0194767,0.01564443179679529,0.043922007738282635
PLK4,2.5711074,2.0169597,0.01013738858980405,0.02916103902732402
CKAP2,12.302624,2.0167277,8.76792387681447e-35,1.8983240187356205e-33
SFRP1,37.293095,2.0121348,2.1235339534848965e-304,2.3539798581170772e-301
MME,39.467613,2.0117211,0.0,0.0
PSRC1,4.1517344,2.010459,3.299653471356026e-05,0.00012475211002959012
PAQR4,3.0663016,2.0070722,0.0021672456956689672,0.006768948491386689
BRCA1,7.9278946,2.0054078,2.2289241101132327e-15,1.823204659491382e-14
HIF3A,6.702819,2.0011218,2.044367781478926e-11,1.2870414431650494e-10
